Week,Michael Jackson: (Worldwide),Zendaya: (Worldwide)
2013-06-29,44,5
2013-07-06,37,6
2013-07-13,36,7
2013-07-20,36,6
2013-07-27,35,6
2013-08-03,34,6
2013-08-10,36,8
2013-08-17,36,11
2013-08-24,52,9
2013-08-31,35,9
2013-09-07,33,8
2013-09-14,32,9
2013-09-21,33,8
2013-09-28,37,7
2013-10-05,33,8
2013-10-12,33,7
2013-10-19,38,6
2013-10-26,42,6
2013-11-02,33,5
2013-11-09,31,6
2013-11-16,31,5
2013-11-23,34,7
2013-11-30,33,6
2013-12-07,31,5
2013-12-14,32,6
2013-12-21,38,7
2013-12-28,51,7
2014-01-04,36,6
2014-01-11,31,6
2014-01-18,32,6
2014-01-25,31,7
2014-02-01,32,6
2014-02-08,31,6
2014-02-15,32,6
2014-02-22,31,5
2014-03-01,36,5
2014-03-08,33,5
2014-03-15,30,5
2014-03-22,31,5
2014-03-29,37,6
2014-04-05,34,5
2014-04-12,57,7
2014-04-19,51,5
2014-04-26,46,7
2014-05-03,50,6
2014-05-10,63,6
2014-05-17,100,6
2014-05-24,57,6
2014-05-31,50,6
2014-06-07,44,5
2014-06-14,42,14
2014-06-21,73,11
2014-06-28,46,13
2014-07-05,41,8
2014-07-12,42,7
2014-07-19,42,9
2014-07-26,40,7
2014-08-02,41,7
2014-08-09,44,9
2014-08-16,39,7
2014-08-23,50,7
2014-08-30,35,8
2014-09-06,33,6
2014-09-13,33,6
2014-09-20,33,7
2014-09-27,32,6
2014-10-04,32,5
2014-10-11,32,5
2014-10-18,33,5
2014-10-25,38,5
2014-11-01,33,4
2014-11-08,32,5
2014-11-15,33,8
2014-11-22,31,6
2014-11-29,31,5
2014-12-06,31,5
2014-12-13,32,4
2014-12-20,34,5
2014-12-27,38,7
2015-01-03,31,5
2015-01-10,30,5
2015-01-17,30,6
2015-01-24,30,5
2015-01-31,31,5
2015-02-07,33,7
2015-02-14,30,6
2015-02-21,30,36
2015-02-28,30,9
2015-03-07,29,6
2015-03-14,30,5
2015-03-21,30,5
2015-03-28,31,7
2015-04-04,31,7
2015-04-11,29,6
2015-04-18,30,7
2015-04-25,30,6
2015-05-02,29,7
2015-05-09,31,7
2015-05-16,30,9
2015-05-23,32,7
2015-05-30,33,7
2015-06-06,31,10
2015-06-13,31,8
2015-06-20,57,8
2015-06-27,36,13
2015-07-04,32,9
2015-07-11,32,9
2015-07-18,31,8
2015-07-25,33,8
