Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
201401|275|4603|547|22036|2|447|1389|283|4741|3777|202|0|0|1283|1001|138|0|0|515|0|249|0|16156|5897|1720|131|1614|30622|875|0|273|313|85|99174|0.8
201312|237|4142|624|21525|0|415|1463|264|5005|4074|170|1|0|1210|946|120|0|0|508|0|207|0|17810|6951|1625|99|1455|28106|946|3|244|257|52|98459|0.8
201311|246|5483|612|31459|2|341|1877|281|7370|3753|154|0|0|1188|1082|121|0|0|442|0|229|0|26484|9252|1618|84|1716|37023|1073|5|253|276|80|132504|1.1
201310|359|7600|668|30272|2|440|1942|470|7760|3358|212|0|0|1356|1165|171|0|0|401|0|303|0|26461|9407|1567|123|1845|41505|1151|4|265|379|73|139259|1.2
201309|292|7416|504|26981|2|461|1637|277|6374|4307|193|0|0|1284|1254|148|0|0|450|0|446|0|23413|8842|1543|103|1631|43927|961|3|323|354|56|133182|1.1
201308|319|6052|507|37856|1|431|1743|377|8305|5111|212|0|0|1618|1139|157|0|0|490|0|310|0|27318|9579|1806|112|1799|50976|1173|1|320|329|58|158099|1.3
201307|382|5929|746|38440|0|480|1908|593|8485|4795|226|0|0|1630|1340|153|0|0|421|0|277|0|29764|10079|1963|89|1812|40279|1167|2|383|357|42|151742|1.3
201306|369|6352|635|40785|2|466|794|389|8437|5111|265|0|0|1693|1417|158|0|0|424|0|269|0|32249|10141|2267|120|1763|36798|1329|3|435|431|75|153177|1.3
201305|344|6552|722|45578|2|475|103|380|8719|4314|215|0|0|1518|1473|154|0|0|381|0|265|0|33858|11040|1780|115|1814|38694|1516|7|445|442|89|160995|1.4
201304|335|6668|681|42445|2|390|106|369|8421|9124|232|0|0|1455|1408|112|0|0|336|0|247|0|32391|12893|1678|91|1840|36991|1517|7|388|328|100|160555|1.4
201303|303|6977|732|44433|5|446|108|325|10128|4202|282|0|0|1788|1291|168|0|0|360|0|245|0|33790|10242|1551|121|2249|51552|1591|10|427|375|114|173815|1.5
201302|224|6653|644|45473|6|419|106|355|9680|3780|196|0|0|1662|1357|135|0|0|411|0|259|1|34960|9531|1334|104|2107|49411|1490|6|420|392|96|171212|1.4
201301|325|6886|611|49721|5|457|123|384|10194|4331|208|1|0|1709|1226|145|0|0|370|0|280|0|33739|11547|1318|116|2076|54231|1699|3|463|354|117|182639|1.5
201212|291|5805|638|44329|2|440|120|402|9008|4531|236|0|0|1514|1090|143|0|0|407|0|335|0|25913|9436|977|122|2229|51369|1462|5|359|325|94|161582|1.4
201211|259|6116|681|54815|2|438|135|373|9723|4122|275|0|0|1897|1233|140|0|0|475|0|327|0|29789|10764|1084|95|1975|50006|1850|7|399|368|91|177439|1.5
201210|276|8054|792|40057|4|408|130|396|11337|3584|282|0|0|1946|1269|155|0|0|497|0|344|0|31242|11776|1097|98|1914|47967|2305|1|242|484|92|166749|1.4
201209|308|8991|691|36365|3|457|132|400|10679|4577|309|0|0|1953|1200|187|0|0|466|0|361|0|27530|10711|1131|118|1905|56932|1404|13|214|459|91|167587|1.4
