Month|Views of page Blanc|Views of page Bleu|Views of page Brun (couleur)|Views of page Noir|Views of page Rose (couleur)|Views of page Rouge|Views of page Vert|Total|Percentage
200808|4231|8849|1|6910|2717|3611|5910|32229|0.6
200807|1215|3228|0|2471|1351|1591|2254|12110|0.2
200806|5119|12136|0|8196|4963|5328|7124|42866|0.8
200805|5576|13658|2|9643|5929|6814|7691|49313|0.9
200804|5240|13345|1|9656|4972|7663|8522|49399|0.9
200803|5260|12224|0|8382|4069|8106|8241|46282|0.8
200802|4867|11735|0|5969|4556|8609|5979|41715|0.8
200801|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0
Total|725365|1354462|391614|920025|432199|898113|8158055537583|100
Percentage|13.1|24.5|7.1|16.6|7.8|16.2|14.7|100
