Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201408|134594|1385429|110200|135075|37437|46154|223003|209294|223986|117201|489924|227002|320103|328864|71169|308321|410174|268560|541733|104727|43866|251233|25332|252240|204803|7|486339|270968|33386|90318|7351442|0.8
201407|140594|1016706|128100|165501|48622|44110|212346|218073|276161|136114|421699|264793|303646|288378|80321|59246|365906|276693|296305|153591|50361|277110|42384|296755|507573|1|234124|246441|35082|131444|6718180|0.8
201406|129710|721067|153295|159722|44178|45265|221797|172852|363099|146090|612576|575316|295342|360221|82531|20|544133|271619|241756|328772|114329|299476|32494|270209|466315|2|267577|232376|33914|202004|7388057|0.8
201405|161468|875692|200822|189215|49589|73842|248234|214706|285068|153332|633065|353938|330090|391174|101669|1|691452|346719|251604|209458|52905|312986|36381|274358|465379|0|285663|221181|43490|119056|7572537|0.9
201404|149301|412572|217437|222089|51277|97760|297357|269411|249796|206556|547832|252046|353578|406630|82384|0|432013|363888|250858|173553|50283|301705|32483|289158|689807|0|302800|203182|37572|117362|7060690|0.8
201403|178065|343961|300923|301392|53458|84436|302882|248938|125705|217901|729736|342951|543204|426154|87033|0|415581|431149|242821|164752|51918|331676|41065|335885|733952|0|307141|188305|40522|94386|7665892|0.9
201402|162130|299886|245285|1536701|61715|55382|321291|241258|151913|205711|624919|229774|585252|424606|89326|0|406779|457925|267215|175542|49645|398378|42929|350089|485366|0|322685|195660|47606|103236|8538204|1
201401|189824|470567|315038|442529|60912|57984|291604|379313|177286|232964|673892|283423|1204894|497794|98982|0|395370|577360|229767|230108|61452|393007|28663|385102|309319|0|428774|202903|74734|119728|8813293|1
201312|194399|643340|341142|262168|65146|51946|420117|269979|166953|259228|875265|208593|749685|498239|171105|2|404748|724140|245299|205979|67994|370327|22756|406132|172255|1|424097|203678|88665|112608|8625986|1
201311|196513|825534|355929|365737|69959|46496|367611|336388|166484|266396|1555551|239490|599096|535179|92109|1|415083|953035|297014|229706|73400|467023|29403|448606|218792|0|447266|192918|57417|124655|9972791|1.1
201310|201751|447699|368330|335462|69992|41450|396945|430577|217519|256240|1041577|209691|482120|675818|92927|0|429318|1123965|298541|156062|83300|443260|36312|415397|231846|1|347523|195568|29404|119124|9177719|1
201309|175657|635028|449638|370048|68461|38840|339465|527563|140753|258552|809256|211301|415001|527627|94868|1|380250|1360912|253556|127470|69733|344618|25700|414621|163423|0|344857|184625|38611|161445|8931880|1
201308|205484|603836|421176|439973|101634|43005|348396|305921|161761|308512|842870|243357|526168|495993|112417|1|453264|1368435|320142|176940|93628|393155|22206|622800|183109|0|460388|202969|73208|161009|9691757|1.1
201307|220317|533775|292616|393603|182559|43853|407849|186395|185680|271606|659718|304564|664619|330828|149837|0|450764|736689|425307|240256|133893|450716|14515|766880|246685|0|460342|213902|31004|127513|9126285|1
